variant,replay,selected_ops,all_graph_gpu_span_us,target_window_us,x_11_active_us,x_13_active_us,x_17_active_us,x_11_x_13_overlap_us,x_11_x_17_overlap_us,x_13_x_17_overlap_us,strict_triple_overlap_us,selected_group_overlap_us,multi_operator_overlap_us,max_concurrent_target_ops
Static+Janus,0,x_13+x_17,1001.212,47.808,5.888,7.423,7.456,0.0,0.0,7.071,0.0,7.071,7.071,2
Static+Janus,1,x_13+x_17,998.364,47.872,5.824,7.264,7.296,0.0,0.0,6.88,0.0,6.88,6.88,2
Static+Janus,2,x_13+x_17,1001.18,47.904,5.888,7.263,7.232,0.0,0.0,6.879,0.0,6.879,6.879,2
Static+Janus,3,x_13+x_17,989.532,47.743,5.824,7.327,7.392,0.0,0.0,6.943,0.0,6.943,6.943,2
Static+Janus,4,x_13+x_17,991.932,47.936,5.888,7.391,7.328,0.0,0.0,7.007,0.0,7.007,7.007,2
TD+Janus,0,x_11+x_13+x_17,844.892,8.96,7.36,7.328,8.256,7.008,6.656,6.976,6.656,6.656,7.328,3
TD+Janus,1,x_11+x_13+x_17,826.588,9.056,7.2,7.488,8.352,6.848,6.496,7.136,6.496,6.496,7.488,3
TD+Janus,2,x_11+x_13+x_17,828.605,9.056,7.265,7.232,8.319,6.88,6.528,6.88,6.528,6.528,7.232,3
TD+Janus,3,x_11+x_13+x_17,821.564,9.536,7.328,7.264,8.768,6.944,6.56,6.88,6.56,6.56,7.264,3
TD+Janus,4,x_11+x_13+x_17,826.333,9.184,7.36,7.712,8.448,7.008,6.624,7.328,6.624,6.624,7.712,3
